Date,Defensive Day,Defensive Comp,Defensive Round,Defensive Venue,Defensive Result,Defensive Squad,Defensive Opponent,Defensive Start,Defensive Pos,Defensive Min,Defensive Tkl,Defensive TklW,Defensive Def 3rd,Defensive Mid 3rd,Defensive Att 3rd,Defensive Tkl.1,Defensive Att,Defensive Tkl%,Defensive Past,Defensive Blocks,Defensive Sh,Defensive Pass,Defensive Int,Defensive Tkl+Int,Defensive Clr,Defensive Err,Defensive Match Report
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,Y,CM,90,,0,,,,,,,,,,,2,,,,Match Report
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,Y,RB,90,,0,,,,,,,,,,,0,,,,Match Report
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,N,,26,,0,,,,,,,,,,,0,,,,Match Report
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,Y,LB,90,,0,,,,,,,,,,,0,,,,Match Report
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
06-10-2019,Mon,UEFA Euro Qualifying,Group stage,Home,W 3–0,es Spain,se Sweden,Y,FW,64,,0,,,,,,,,,,,0,,,,Match Report
15-10-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-10-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,se Sweden,Y,RB,80,,1,,,,,,,,,,,1,,,,Match Report
15-10-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-10-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,se Sweden,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-10-2019,Tue,UEFA Euro Qualifying,Group stage,Away,D 1–1,es Spain,se Sweden,Y,DM,90,,1,,,,,,,,,,,1,,,,Match Report
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,Y,FW,90,,0,,,,,,,,,,,1,,,,Match Report
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,Y,FW,65,,0,,,,,,,,,,,0,,,,Match Report
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
15-11-2019,Fri,UEFA Euro Qualifying,Group stage,Home,W 7–0,es Spain,mt Malta,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,
