Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1,Match Report,Fls,Fld,Off,Crs,TklW,OG,PKwon,PKcon
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,LW,45,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,12,22,54.5,1,0,0,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,RW,90,0,0,0,0,1,0,0,0,45,1,0,1,0.1,0.1,0,0,0,27,35,77.1,2,0,2,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y*,CM,120,0,0,0,0,1,1,0,0,116,2,4,1,0.1,0.1,0.1,5,0,94,106,88.7,11,1,1,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,LM,118,0,0,0,0,0,0,0,0,105,5,2,4,0,0,0.2,9,0,85,93,91.4,5,0,1,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,Y,RM,89,0,0,0,0,2,0,0,0,78,1,0,1,0.1,0.1,0.5,4,0,64,73,87.7,2,0,0,Match Report,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07-02-2021,Fri,UEFA Euro,Quarter-finals,Away,D 1 (3)–1 (1),es Spain,ch Switzerland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,RB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,GK,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y*,CM,84,0,0,0,0,0,0,1,0,,,2,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,Y,CM,84,1,0,0,0,4,2,0,0,,,0,,,,,,,,,,,,,Match Report,,,,,,,,
09-02-2021,Thu,WCQ,First round,Away,L 1–2,es Spain,se Sweden,N,,6,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,Match Report,,,,,,,,
