Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon,Match Report,Touches,Tkl,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att.1
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y*,FW,90,0,0,0,0,2,0,0,0,,,,,,0,,,,Match Report,23,0,0,0.1,0.1,0,0,0,21,21,100,2,0,0
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,GK,90,0,0,0,0,0,0,0,0,,,,,,0,,,,Match Report,25,0,0,0,0,0,0,0,18,23,78.3,0,0,0
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,FW,45,0,0,0,0,2,0,0,0,,,,,,0,,,,Match Report,34,0,0,0.1,0.1,0.1,2,0,24,26,92.3,1,1,3
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,FW,45,0,0,0,0,1,1,0,0,,,,,,0,,,,Match Report,26,0,0,0,0,0.5,3,0,21,23,91.3,0,1,1
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,RW,90,0,0,0,0,0,0,0,0,,,,,,2,,,,Match Report,110,1,0,0,0,0.3,10,0,85,105,81,8,0,0
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,DM,90,0,0,0,0,3,1,0,0,,,,,,1,,,,Match Report,93,2,0,0.5,0.5,0,2,0,82,86,95.3,5,3,3
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,0,0,0,0,3,1,1,0,,,,,,3,,,,Match Report,71,1,1,0.2,0.2,0,0,0,58,61,95.1,2,0,0
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2018,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,0,0,0,0,0,0,1,0,,,,,,1,,,,Match Report,99,2,6,0,0,0,0,0,84,86,97.7,2,0,0
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y*,FW,90,0,0,0,0,,,0,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09-08-2018,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CM,63,0,0,0,0,,,1,0,,,,,,,,,,Match Report,,,,,,,,,,,,,,
